Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
512.7,4.619999999999999,22.5,38.4,26.7,12.4
512.7,6.04,25.5,41.9,18.1,14.5
512.6,8.24,21.8,37.6,31.0,9.6
512.6,4.92,23.3,39.0,24.1,13.7
512.3,5.3100000000000005,25.7,36.5,21.4,16.4
512.2,4.11,32.5,30.3,9.4,27.7
512.2,5.17,25.1,33.9,20.0,20.9
512.1,7.55,20.1,33.8,34.5,11.7
512.1,5.05,27.5,26.1,15.1,31.2
512.1,6.01,18.8,47.4,27.5,6.2
512.0,4.46,21.6,45.6,18.2,14.5
511.9,5.470000000000001,26.6,38.0,18.5,16.9
511.9,5.779999999999999,25.6,40.7,15.3,18.4
511.9,4.4399999999999995,27.8,32.9,20.6,18.6
511.7,9.11,24.7,33.3,29.6,12.5
511.7,6.76,27.6,28.3,26.3,17.8
511.6,5.0200000000000005,30.0,37.4,15.4,17.2
511.6,5.89,23.6,34.2,27.2,15.0
511.6,7.55,23.4,46.5,18.3,11.8
511.6,4.4799999999999995,30.7,30.7,13.7,24.9
511.5,5.5,28.6,27.9,20.7,22.8
511.5,5.11,27.4,31.8,28.8,12.1
511.4,6.09,19.9,40.2,29.0,10.9
511.3,4.220000000000001,26.9,39.6,19.6,13.9
511.3,6.779999999999999,14.5,37.0,40.2,8.3
511.2,8.55,18.7,45.2,26.1,10.1
511.1,5.65,21.7,40.6,26.6,11.1
511.0,5.9399999999999995,17.9,36.1,37.0,9.0
510.9,6.68,13.3,36.8,42.6,7.4
510.9,7.68,28.1,34.4,26.3,11.2
510.7,4.05,22.7,34.0,24.8,18.5
510.6,5.85,19.6,45.6,22.0,12.8
510.5,9.27,17.0,44.4,31.4,7.2
510.3,4.220000000000001,32.6,35.3,10.8,21.3
510.3,9.7,21.3,32.1,35.3,11.3
510.1,5.15,27.6,35.9,20.9,15.5
510.0,6.21,25.4,34.7,25.3,14.5
510.0,7.6,27.7,29.6,28.6,14.2
510.0,8.07,27.7,40.4,15.8,16.0
510.0,6.68,23.3,36.8,28.4,11.5
509.9,6.2,19.8,40.1,28.3,11.8
509.7,5.82,25.8,33.6,17.4,23.2
509.7,5.92,31.0,34.0,15.7,19.2
509.6,3.99,16.5,35.6,39.5,8.4
509.5,5.529999999999999,23.4,38.8,15.4,22.3
509.5,5.720000000000001,24.0,37.5,27.0,11.5
509.5,4.3625,29.0,26.5,16.1,28.3
509.3,5.83,28.9,32.8,23.7,14.5
509.3,2.9,26.1,38.3,21.3,14.2
509.3,4.92,25.1,38.2,26.1,10.6
509.3,5.12,22.4,44.7,20.2,12.7
509.3,4.5600000000000005,23.4,33.8,22.1,20.6
509.2,4.7299999999999995,39.1,26.2,13.6,21.1
509.2,6.0200000000000005,25.5,36.1,24.5,13.9
509.0,9.79,27.5,41.6,21.7,9.2
509.0,8.540000000000001,16.0,30.1,47.5,6.3
509.0,5.21,21.4,37.4,30.7,10.6
508.8,9.54,23.1,34.2,31.9,10.7
508.8,5.7700000000000005,26.1,37.6,19.3,17.0
508.7,9.47,17.8,45.5,31.3,5.5
508.7,5.1899999999999995,30.0,38.1,15.6,16.3
508.7,7.540000000000001,24.9,40.9,22.9,11.2
508.6,5.85,20.4,47.6,21.3,10.7
508.6,5.35,24.8,35.6,26.5,13.0
508.5,3.07,31.3,40.0,15.5,13.1
508.5,4.96,26.3,35.4,27.0,11.3
508.4,5.58,23.3,45.6,20.1,11.1
508.4,6.640000000000001,23.5,44.4,20.4,11.7
508.3,4.029999999999999,28.4,29.0,11.8,30.9
508.3,8.290000000000001,22.2,31.0,35.0,11.8
508.3,8.209999999999999,25.6,44.6,20.0,9.7
508.3,5.7,22.6,35.3,31.2,10.9
508.2,5.44,22.1,44.7,21.6,11.6
508.2,8.059999999999999,17.5,45.0,27.6,9.9
508.2,8.99,18.1,38.8,33.4,9.7
508.1,4.7700000000000005,19.1,40.8,29.2,10.9
508.0,4.4399999999999995,27.4,35.7,22.4,14.6
508.0,5.7700000000000005,27.4,36.1,17.9,18.6
507.9,5.790000000000001,31.0,29.5,16.2,23.3
